Name,Market Cap (EUR€ Billion)
 JPMorgan Chase,431.532
 Bank of America,335.043
 Industrial and Commercial Bank of China,217.767
 Wells Fargo,272.11
 China Construction Bank,227.395
 HSBC Holdings PLC,193.711
 Agricultural Bank of China,179.553
 Citigroup Inc.,179.483
 Bank of China,160.316
 HDFC Bank,118.734
 Goldman Sachs,116.331
 China Merchants Bank,108.323
 Royal Bank of Canada,108.277
 Banco Santander,102.21
 Commonwealth Bank,99.145
 Mitsubishi UFJ Financial Group,98.644
 Toronto-Dominion Bank,95.808
 Sberbank of Russia,88.202
 Morgan Stanley,88.035
 U.S. Bancorp,83.536
 BNP Paribas,82.45
 Itaú Unibanco,76.155
 Westpac,74.703
 Scotiabank,69.745
 ING Group,69.721
 UBS,66.683
 Charles Schwab,65.599
 PNC Financial Services,63.825
 Lloyds Banking Group,62.947
 Sumitomo Mitsui Financial Group,59.48
 Bank of Communications,59.259
  Australia and New Zealand Banking Group,58.702
 Banco Bradesco,57.261
 National Australia Bank,56.358
 Intesa Sanpaolo,54.801
 Banco Bilbao Vizcaya Argentaria,53.605
 Japan Post Bank,53.47
 The Bank of New York Mellon,52.85
 Shanghai Pudong Development Bank,51.942
 Industrial Bank (China),50.699
 Bank of China (Hong Kong),48.986
 Bank of Montreal,46.982
 Crédit Agricole,46.063
 DBS Bank,45.475
 Nordea,45.219
 Capital One,45.15
 NatWest Group,44.605
 Mizuho Financial Group,44.188
 Credit Suisse,42.813
 Postal Savings Bank of China,42.359
 China Minsheng Bank,42.335
 UniCredit,42.208
 China CITIC Bank,41.92
 Hang Seng Bank,40.789
 Société Générale,40.683
 Barclays,40.506
 Canadian Imperial Bank of Commerce,38.468
 Bank Central Asia,38.292
 Truist Financial,37.036
 Oversea-Chinese Banking Corp,36.541
 State Bank of India,49.207
 State Street Corporation,35.133
 Deutsche Bank,34.144
 KBC Bank,33.919
 Danske Bank,33.768
 Ping An Bank,33.564
 Standard Chartered,32.969
 United Overseas Bank,31.033
 QNB Group,29.648
 Bank Rakyat Indonesia,29.225
